sheet_name,rows_before_filtering,rows_after_filtering,non_null_dates
1guy,86,80,80
1squirrel,70,70,70
360noscope420blazeit,86,84,84
5,76,76,76
6,55,55,55
888token,86,84,84
abi,86,85,85
achi,79,78,78
acidtoad,86,21,21
adillo,43,43,43
agentaigo,62,46,46
agenttank,53,53,53
ai16z,86,85,85
ai16zeliza,46,46,46
aicrystalnode,86,85,85
aiinu,86,84,84
aimerica,45,45,45
aimonicabrands,56,56,56
aishellnova,36,36,36
aitraderagent,33,33,33
aiwarpertoken,70,69,69
aiwithdaddyissues,86,85,85
akiprotocol,86,85,85
akitabsc,43,43,43
alaska,83,81,81
alchemistai,62,62,62
alp,83,81,81
alpaca2,78,77,77
alpha3,86,81,81
amaterasuomikami,86,85,85
americancoin,86,85,85
americapac,84,82,82
analos,86,85,85
andy70b,45,45,45
andyman,86,84,84
anitamaxwynn,83,81,81
antitoken,33,33,33
anyinu,86,85,85
aped,71,71,71
aquarius2,76,75,75
aquathecoin,85,82,82
arbdogeai,54,0,0
arbidoge,83,80,80
aries,76,75,75
ariethesealion,77,77,77
astheria,45,45,45
astropepex,86,85,85
auraonsol,86,84,84
auroraterminal,77,77,77
autism2,86,85,85
autonomousvirtualbeings,86,85,85
avaai,69,69,69
avachiangmainightsafariava,70,70,70
avaxhasnochill,86,85,85
avocato,78,77,77
axi,46,46,46
babybitcoin2,83,81,81
babybnb,86,85,85
babybonk,86,0,0
babydragonx,86,80,80
babygrok,86,0,0
babyneiro2,86,0,0
babyneirotoken,86,84,84
babypepe3,45,45,45
babypnut2,71,1,1
babyshironeko,64,64,64
babywen,86,85,85
badcatsol,78,77,77
badideaai,86,85,85
ballsoffate,86,83,83
bananacat,86,84,84
bananaforscale,70,70,70
bananaforscale2,61,61,61
bananatapewall,86,85,85
barbiecrashbandicootrfk88,86,0,0
based,86,83,83
basktfun,73,73,73
beercoin2,86,85,85
believeinsomething,86,83,83
believeinsomething2,83,81,81
belikeblob,75,75,75
benthedog,86,85,85
bertramthepomeranian,84,82,82
beth,40,40,40
betmore,86,83,83
biaoonsol,62,62,62
biaoqing,86,84,84
big,57,49,49
bigcheungus,75,74,74
bigdogfink,78,78,78
bigjim,39,39,39
bigpharmai,49,49,49
billiondollarcatrunes,46,46,46
billy,86,85,85
bingusthecat,86,85,85
birddog,86,84,84
bitbonk,86,83,83
bitcat2,86,85,85
bitcat3,78,78,78
bitcoinact,78,78,78
blackagnus,64,63,63
blackunicorncorp,33,33,33
blinkdotfun,48,48,48
blinksgg,86,84,84
blk2100,86,72,72
blobanapet,76,75,75
bloomspergterminal,75,75,75
bobacat,86,84,84
bobaoppa,86,85,85
boblles,66,65,65
bobocoin,38,38,38
bobthesnek,84,82,82
bobtoken,86,85,85
bog,86,13,13
bogus,85,79,79
bongocat,86,85,85
bonsaitoken,73,73,73
booji,40,40,40
boop2,86,84,84
boop3,81,80,80
bopcat,85,83,83
bozohybrid,86,83,83
brainlet2,86,85,85
brainrot,86,84,84
brettmemecoin,62,62,62
brot,58,58,58
brothecat,86,85,85
bueno,78,76,76
buildonbnb,74,66,66
burnedfi,86,84,84
buttholecoin,35,35,35
buu,86,85,85
byte,86,84,84
cancer,76,76,76
capricorn2,76,75,75
carloacutis,70,70,70
cas9,33,33,33
catalorian,86,85,85
catana,86,85,85
catcoincash,86,0,0
catdog,86,84,84
catecoin,86,85,85
catex,86,83,83
catgirl,86,83,83
catownkimono,86,84,84
catslap,58,58,58
catwifbag,86,84,84
catwifhat2,86,85,85
cctv,86,84,84
centience,77,77,77
chadcat,71,71,71
chadcoin,86,83,83
chaosanddisorder,70,70,70
chartreuxcat,86,81,81
chatgptsmascot,78,77,77
cheems,86,84,84
cheese2,86,81,81
cheese3,77,76,76
cheeseball,86,84,84
cheshiregrin,67,67,67
cheyenne,77,77,77
chibawan,85,83,83
chillgirl,71,71,71
choccymilkcat,79,74,74
chonky,86,85,85
chudjak,86,85,85
clapcat,86,81,81
claude,35,35,35
coal2,86,85,85
coby,86,84,84
cococoin,83,81,81
codergf,39,39,39
codetoken,75,70,70
comedian,48,48,48
convo,51,51,51
corgiinu2,36,36,36
corn2,86,83,83
costcohotdog,86,85,85
crab,55,55,55
crashout,86,85,85
craze,43,43,43
crowwithknife,84,82,82
cryptoboomcoinofficial,86,81,81
cryptoczar,69,69,69
csi888,86,85,85
cultofpepe,84,80,80
cumrocket,86,85,85
cupsey,85,83,83
cyberdoge3,85,80,80
daddychill,66,65,65
daddytate,78,78,78
dancingtriangle2,86,85,85
darkmaga,86,85,85
darksun,57,57,57
dasha,86,84,84
deepworm,86,85,85
defrogs,68,68,68
degenspartanai,86,85,85
dejitarutsuka,86,85,85
departmentofgovefficiency,83,81,81
departmentofgovernmentefficiency3,84,82,82
derdaku,36,36,36
devinonsolana,86,83,83
dingocoin,64,64,64
dinolfg,86,84,84
divinelyprotected,73,71,71
dna,67,0,0
dogaiwtf,85,83,83
dogami,70,70,70
dogc,63,63,63
doge,80,78,78
dogebonk,86,84,84
dogecast,76,76,76
dogecast2,74,74,74
dogefather2,73,73,73
dogefather3,34,34,34
dogegf,86,0,0
dogejonesindustrialaverage,85,83,83
dogemascotshibu,86,85,85
dogemojionsolana,86,82,82
dogeonsolana,86,85,85
dogfoodtoken,86,25,25
doggo3,86,85,85
doggoinu,86,7,7
doginhood,86,84,84
doginthpool,86,84,84
doglibre,49,49,49
dogwifnuchucks,77,73,73
dogwithappleinmouth,54,54,54
dolanduck,85,83,83
dollarmoon2,86,82,82
dolosthebully,78,78,78
donaldtremp,86,85,85
dontbuyinu,86,83,83
dontdie,70,69,69
doom,35,0,0
dorklord2,86,85,85
dotcom,70,70,70
draggycto,86,53,53
drip,86,84,84
drpepeai,39,39,39
duckai,66,66,66
duckthedoug,86,83,83
ducky,86,85,85
duko,86,85,85
eagleoftruth,86,81,81
earl,86,80,80
effectiveaccelerationism,86,82,82
eggdog,86,84,84
elgato,86,85,85
eliza,74,74,74
elon,86,85,85
eloniatrump,74,73,73
elonrwa,86,81,81
elonspetsnail,77,77,77
elsapopepe,45,44,44
endfederalreserve,74,74,74
enkrypto,86,83,83
estee,86,84,84
ethbull,40,40,40
ethereumisgood,86,84,84
evan2,70,70,70
expert_money,71,70,70
eyeearn,86,85,85
fairfun,86,45,45
faml,74,73,73
fatgf,86,84,84
feces,86,85,85
fefeoneth,86,85,85
fegtoken2,86,74,74
feistydogenft,86,85,85
fighttomaga,86,85,85
fijiexe,81,81,81
fine2,84,72,72
firstconvictedraccon,54,54,54
firstreply,86,85,85
fishkoin,86,84,84
fisttrumppump,86,85,85
flatearthcoin,78,78,78
flaviaisonline,86,84,84
fleabone,78,78,78
floofnoodles,74,72,72
floos,86,85,85
floppacat,86,82,82
florkcto,37,37,37
flowerai,70,70,70
fofar,86,85,85
fomo3d,54,54,54
fomoradioai,33,33,33
forest,86,85,85
forky2,33,33,33
freeshaynecoplan,77,77,77
freespeech2,36,36,36
frensofelon,58,57,57
fric,54,54,54
frodothevirtualsamurai,50,50,50
frog3,84,81,81
frogevip,54,46,46
frox,74,73,73
fu,86,84,84
fug,86,55,55
fug2,83,80,80
fuku2,74,74,74
furnancialadvisor,78,78,78
fxn,62,62,62
gamestop,86,85,85
gameswift,86,85,85
gdog,86,85,85
gegagedigedagedago,74,72,72
gemini2,83,80,80
gemxbt,50,50,50
generationalwealth3,84,81,81
genzquant,76,76,76
gikocat,86,85,85
ginnan,67,65,65
ginnanthecat,86,85,85
glorp,78,77,77
glp1,70,70,70
gluteusmaximusbyvirtuals,39,39,39
gme,86,85,85
gmika,86,84,84
goatseusactii,83,69,69
gobi,70,70,70
gondola,86,84,84
gooby,86,83,83
goodboy,42,41,41
goodmorning3,82,80,80
goofy2,31,31,31
gottitoken,86,83,83
gou,86,84,84
gout,74,74,74
gpuairich,49,49,49
griffainnewhedgefund,41,41,41
groggobymattfurie,86,84,84
grok2,85,83,83
groyper,86,85,85
grumpycatcoin,74,74,74
gua,71,71,71
guacamole,86,85,85
gummy,86,85,85
h2w6gm6jz,46,46,46
habibisol,86,85,85
hahayes,85,83,83
halforangedrinkinglemonade,86,84,84
hami,86,85,85
hana,86,85,85
hanbao,83,81,81
happycat2,70,70,70
harambe2,80,80,80
harold,86,84,84
haroldonsol,74,73,73
harrypottertrumphomersimpson777inu,86,85,85
hasbullascat,82,81,81
hawk2,86,85,85
heeeheee,86,84,84
hege,86,85,85
hehecat,86,85,85
hemule,86,85,85
henlo,77,13,13
hermythestallion,57,57,57
highaf,67,66,66
hisnamegort,78,78,78
historyofpepe,86,85,85
hogefinance,86,84,84
honk,86,85,85
hoppymeme,63,63,63
horny,55,55,55
hotdoge2,50,50,50
huahua,68,68,68
hund,86,85,85
huskyavax,86,84,84
iiiilovvvyouuuu,86,85,85
ilence,70,70,70
illuminaticoin,86,85,85
ilovepuppies,86,84,84
imnotwrongimearly,78,77,77
inferno2,86,85,85
infinitebackrooms,86,84,84
intern,74,72,72
internationalmemefund,54,44,44
internosaur,57,57,57
inusol,86,83,83
iq50,86,85,85
iq6900,51,51,51
ito,86,83,83
jailbreakme,53,53,53
jak,66,66,66
jamcat,83,81,81
janrotherat,63,63,63
jenhsunhuang,86,84,84
jeoboden,86,85,85
jesuscoin,86,85,85
jewelsdagoat,77,77,77
jiffpom,70,69,69
jinx,85,83,83
joecoin,83,81,81
johnmcaifee,78,77,77
johnthecoin,86,83,83
joi,77,76,76
jorkin,78,77,77
justachillguy,64,64,64
justbuy1worthofthiscoin,68,68,68
justiceforpeanut,53,53,53
justiceforpnutandfred,70,69,69
k9financedao,86,85,85
k9killedinshootout,77,77,77
kaiken,86,71,71
kandoai,42,42,42
kappy,61,61,61
katanainu,86,85,85
keanu,74,72,72
keepgambling,58,58,58
keketerminal,68,68,68
kekistan,86,85,85
kekiusmaximus,47,47,47
kenduinu,85,83,83
keyboardcat,83,81,81
khaokheowzoo,68,68,68
kibainu,86,84,84
kiboshib,86,85,85
kiki2,44,44,44
kimbo,86,85,85
kira3,70,70,70
kirakuru,51,51,51
kishuinu,84,0,0
kittekoin,86,34,34
kittenhaimer,86,85,85
kizuna,86,80,80
klaus,86,84,84
knotdiffiehellman,56,56,56
knutfromzoo,42,41,41
koalaai,86,85,85
kolin2,67,67,67
komainu,86,85,85
kotaro,76,73,73
koto2,70,70,70
kpopkpopfun,54,52,52
kwantxbt,53,53,53
kween,50,50,50
kyra,85,81,81
lambosforvirgins,61,55,55
landwolf2,70,70,70
larpdetectiveagency,43,43,43
leaai,71,71,71
leash,86,85,85
ledogdog,86,83,83
legend,60,60,60
leo2,76,76,76
leper,82,81,81
lethimcook,86,85,85
letsfarty,33,33,33
letsgetthisbread,50,50,50
letthatsinkin,82,81,81
libra4,76,75,75
lifedog,62,62,62
lilyscoin,86,85,85
limbo,62,62,62
lingyan,83,80,80
linkonsol,77,74,74
lioncat,86,81,81
litecoinmascot,77,77,77
literallyme,86,85,85
littlemanyu,86,85,85
lmeow2,86,85,85
loafcat,86,85,85
lockin,77,77,77
logosai,57,57,57
lol3,86,82,82
lola3,62,62,62
lolcat2,86,84,84
loner,54,54,54
long4,61,60,60
loobybystephenbliss,74,73,73
lookbro,86,83,83
loulou,86,84,84
lovelyinufinance,86,85,85
lowqualitycat,86,84,84
lucedog,83,80,80
luci,86,85,85
luckydog,86,76,76
luffyinu,54,54,54
lumi3,58,58,58
lunabyvirtuals,59,59,59
m3m3,47,47,47
mad2,86,85,85
madonnadelgatto,47,43,43
magaagain,86,84,84
magafightfortrump,85,83,83
magahat,86,85,85
magaverse,49,49,49
magnet2,85,83,83
maincharacter,77,76,76
maincharacterenergy,76,73,73
majorfrog,86,85,85
make,86,69,69
makeamericahealthyagain,84,81,81
malakai,86,83,83
maneki,54,54,54
manifestonsol,86,83,83
mao3,86,78,78
marketdominance,86,84,84
markkacy,73,73,73
mars2,86,85,85
marvininu2,86,84,84
matt0x79,86,84,84
max2,61,61,61
maxoneth,57,57,57
maya,83,81,81
mcdull,58,58,58
medusa2,85,83,83
mellowman,86,85,85
melo,86,84,84
melondog,86,83,83
memeanarchicnumismaticasset,53,53,53
memecoingirl,86,79,79
memecoinmillionaire,86,83,83
memesai,86,85,85
men,86,84,84
meow,83,81,81
meowmeowmeowmeow,50,50,50
metamonopoly,86,85,85
metformin,71,71,71
michicoin,35,35,35
miladywifhat,86,85,85
milkbag,86,84,84
mimany,86,84,84
mindzero,62,62,62
minetardai,67,67,67
minidoge3,49,49,49
minimini,84,82,82
mist2,78,78,78
mizuki,49,49,49
moai,85,83,83
moe4,62,62,62
moew,74,74,74
monaarcane,55,55,55
mongcoin,86,85,85
monkeyhaircut,86,85,85
monkeypox,86,83,83
monkeysolinu,45,45,45
moodeng2,86,85,85
moonbag,86,84,84
moonscape2,86,82,82
morris,82,80,80
morud,86,84,84
moss,40,40,40
moth2,86,84,84
motheriggy,76,76,76
mrmayonnaisethecat,82,79,79
mstr2100,85,83,83
mumuthebull3,44,44,44
muskit,54,54,54
musmecoin,57,57,57
mut,74,74,74
myro,33,33,33
mystery2,53,53,53
nailong,86,85,85
naitzsche,49,49,49
nakedjim,31,31,31
nasdaq420,86,85,85
navalai,78,78,78
ndx6900,86,84,84
neirei,86,82,82
neiro,86,85,85
neiro2,86,85,85
neirooneth,57,57,57
neroboss,54,54,54
neversol,86,84,84
newbabyelephanthoustonzoo,76,76,76
newbornhaggispygmyhippo,86,85,85
nightfury,45,45,45
ninjasquad,69,69,69
no1tiktokcat,80,78,78
nomansland,78,70,70
nomnom,86,85,85
noods,83,76,76
noooomeme,86,82,82
nothing4,61,61,61
novaonmars,61,61,61
npconsolana,86,85,85
nullmatrix,86,84,84
number,35,35,35
numogram,86,85,85
nutcoinmeme,62,62,62
nya,86,85,85
nyanmemecoin,79,78,78
obipnutkenobi,85,83,83
obot,78,78,78
offcialmascotoftheholyyear,47,47,47
ogroaringkitty,86,85,85
ogsminem,86,79,79
okane,78,76,76
omega2,86,85,85
omnicat,86,84,84
oneunchillgal,70,70,70
optimusai,86,85,85
opus2,70,70,70
opxlive,46,46,46
orbit3,54,54,54
orc,86,83,83
oscar,86,85,85
pajamascat,86,85,85
patriot,86,85,85
peanie,86,83,83
peanut2,86,84,84
peanut3,86,84,84
peepoeth,86,84,84
peipeicoinvip,82,81,81
peng,86,85,85
pepe20,70,70,70
pepeai2,74,73,73
pepefork,85,83,83
pepeinamemesworld,81,81,81
pepesol,86,84,84
pepethekingprawn,57,57,57
pepetrump,81,80,80
pepoclown,86,50,50
pestothebabykingpenguin,86,85,85
petunia,86,84,84
phil,86,85,85
pigeontech,86,82,82
pikaboss,86,85,85
pillzumi,51,51,51
pingdog,86,83,83
pino,86,83,83
pippin,79,79,79
pisces,82,80,80
planktoninpain,50,50,50
pledge2,56,55,55
pnutsforsquirrel,76,36,36
pnutssister,83,81,81
pochita,86,85,85
polydoge,86,85,85
ponk2,84,81,81
poochi,86,17,17
popdog,86,85,85
popo2,86,82,82
popothefrog,86,84,84
poppy,31,31,31
poupe,86,74,74
powsche,67,67,67
praist,69,69,69
presidentexe,86,82,82
principalsnetwork,49,49,49
project89,86,85,85
projectaeon,78,77,77
prophetofethereum,86,85,85
puffy,86,83,83
pump2,78,75,75
pundu,86,85,85
pupsordinals,86,84,84
purplepepe,60,60,60
qstar,86,85,85
quantifyai,53,53,53
quasar3,70,70,70
ratescape,69,69,69
rawr,86,85,85
real2,86,83,83
realisworlds,54,54,54
realsmurfcat,86,85,85
realworldai,46,46,46
redgenesis,35,35,35
redsiberianhusky,36,36,36
reflectionsofdissonanceai,77,77,77
rekt4,71,71,71
retardio,44,44,44
rex3,78,78,78
ribbit2,86,85,85
richquack,86,0,0
rifampicin,56,56,56
riko,86,85,85
rizo,79,78,78
rizzmas,69,69,69
rnttoken,76,76,76
roastmaster9000,64,64,64
rock3,86,82,82
rockytherock,86,85,85
roflcopter,68,67,67
ronnie,86,85,85
ropirito,75,75,75
rsnoofi,86,85,85
runneroneth,84,79,79
ruritruthterminalscrush,76,75,75
ryujin,86,85,85
saadboi,39,39,39
sadant,61,60,60
sadhamster,86,85,85
safukekgigafundz888,84,81,81
sageuniverse,86,81,81
sagittarius,76,75,75
salvatormundi,63,63,63
samoyedcoin,86,85,85
santa2,66,66,66
santahat,66,66,66
sbrsol,78,78,78
schizoterminal,47,47,47
scihub,76,76,76
scorpio,80,80,80
scratch3,45,43,43
screaminghyrax,68,68,68
sealsreadytocrackpengusice,44,44,44
selfiedogcoin,85,83,83
send2,79,79,79
sendor,73,73,73
sensus,65,65,65
sentientai,32,32,32
sharbi,86,85,85
sharkcat,86,85,85
sharki,86,84,84
sherises,39,39,39
shibaclassic2,78,8,8
shibadoge,86,0,0
shibapredator,86,28,28
shibashootout,71,69,69
shibawing,86,56,56
shibwifhatcoin,86,84,84
shifu,42,42,42
shinainu,86,85,85
shitcoin3,46,45,45
shoggoth,86,85,85
shrub,70,70,70
shrub2,86,84,84
sigma,72,72,72
sillydragon,86,85,85
sillynubcat,86,85,85
simmitoken,61,54,54
simsai,41,41,41
singularry,57,57,57
size,62,62,62
skainet,62,62,62
skibiditoilet2,80,80,80
slop,86,85,85
slopfather,50,50,50
slothana,86,85,85
smilingdolphin,85,83,83
smokingchickenfish,79,79,79
snakewifhat,76,76,76
snapkero,86,85,85
sofacat,82,81,81
solama,86,84,84
solarisai,82,81,81
solcat,70,70,70
solchat,86,85,85
solnic,86,84,84
speedy2,86,85,85
spikeoneth,86,83,83
spinningcat,76,75,75
splashdog,59,59,59
spunkysdx,57,57,57
spx690020,86,83,83
sqrfund,50,50,50
squidgrow2,86,85,85
stardoge,69,69,69
starecat,83,81,81
staringrobot,85,83,83
stars2,39,39,39
stashinu,86,84,84
stick,73,73,73
stonks4,43,43,43
strategicbitcoinreserve,86,85,85
strategichubforinnovationinblockchain,84,77,77
styrosteve,45,45,45
successkid,86,84,84
supercyclereal,86,85,85
supertrump,86,85,85
suwi,86,85,85
swaggy,85,82,82
swarm2,78,75,75
swarmnodeai,44,44,44
tabman,86,84,84
taoinu,86,85,85
tateterminal,86,85,85
taurus2,76,74,74
tehepikduck,86,85,85
tema,68,68,68
tensorium,70,66,66
terminus2,86,85,85
terminus3,86,85,85
terryinthetrenches,70,70,70
tetsuocoin,46,46,46
thalesai,53,53,53
theanthropicorder,62,62,62
thebalkandwarf,86,85,85
theblinkingaicatcatfather,30,30,30
thecat,86,84,84
thedogenft,58,58,58
thelastplay,86,85,85
thelokiecabal,62,59,59
thenuttingprofessor,48,48,48
thereallandwolf,86,85,85
therugcoon,86,83,83
thesocietylibrary,75,74,74
thesoldog,86,85,85
thetickeriseth,86,84,84
theydontloveyoulikeiloveyou,76,76,76
toadkiller,86,73,73
toadsol,86,52,52
tobi,86,85,85
toco,48,48,48
todd,85,83,83
toga,86,85,85
toki2,45,7,7
tomocat,64,64,64
tookerkurlson,86,83,83
tophat,84,82,82
topprotocol,85,82,82
torithecat,86,81,81
torsy,86,85,85
trackedbio,70,70,70
trenchai,42,42,42
trisigma,65,65,65
trog,47,47,47
troll,86,85,85
trumpderangementsyndrome,85,80,80
trumpiusmaximus,32,32,32
trumpshuffle,76,76,76
trusttheprocess,50,50,50
tsotchke,46,46,46
tsuba,37,37,37
tuki,86,84,84
uglydog,54,54,54
unfk,77,77,77
unicornfartdust,33,33,33
universalbasiccompute,68,68,68
universaloperatingsystem,34,34,34
upgrates,78,78,78
upsidedowncat2,83,81,81
uranus3,86,85,85
urolithina,76,76,76
valhallaindex,86,85,85
vaticanmascot,83,76,76
vaultterminal,77,77,77
venko,86,84,84
vibecat2,77,77,77
vibingcat,86,83,83
virgo2,81,80,80
vitai,61,59,59
vitainu,86,85,85
voiceartificial,33,33,33
voltinu2,86,85,85
voyagerai,54,54,54
waffles,86,85,85
wallstreetmemes,86,84,84
wally,84,79,79
walterdogsolana,85,83,83
wassie,86,85,85
wat,42,42,42
waterbear,74,74,74
watercoin,86,84,84
wawacat,86,84,84
weirdmedievalmemes,70,70,70
wen4,34,34,34
whatsupdog,86,84,84
whinecoin,70,59,59
whiskey,86,84,84
why,86,85,85
whyyoutouzhele,33,33,33
wibwob,78,78,78
wicked,86,84,84
wifejak,77,76,76
wildgoatcoin2,78,77,77
winniethepoodle,86,85,85
winterarc,76,74,74
wojak,41,41,41
wolfofwallstreet,86,69,69
womanyellingatcat,86,83,83
wooftoken,72,72,72
work,53,53,53
would,61,61,61
wrappedayeayecoin,86,82,82
wrappeddog,86,85,85
wuffi,49,49,49
xcommunity,40,40,40
xenopuslaevis,49,49,49
xingxing,76,76,76
yap,86,81,81
yawnsworld,86,61,61
yellowpepe,65,65,65
yeschad,78,78,78
yne,33,33,33
yousim,70,70,70
yowie,82,79,79
zackmorris,86,84,84
zaraai,40,40,40
zazu2,86,83,83
zenith3,60,60,60
zerebrotokenoftransformation,40,40,40
zerotech,86,85,85
zeus3,33,33,33
zoaai,75,74,74
zods,46,46,46
zoomer,86,85,85
zoomersol,86,82,82
zyncoin2,86,85,85
